Author;AuthorULAN;AuthorULANLabel;AuthorNationality;BiographyLabel;AuthorBirth;AuthorDeath;AuthorBirthLong;AuthorBirthLat;AuthorDeathLong;AuthorDeathLat;AuthorBirthCity;AuthorDeathCity;CountModifiers;CountModifiers_Contact;CountModifiers_Neighbours;CountWorks;CountWorks_Modified;CountWorks_Contact;CountWorks_Neighbours;PercWorks_Modified;PercWorks_Contact;PercWorks_Neighbours
BELLINI Giovanni;ulan:500019244;Bellini, Giovanni;Italian (culture or style);Venetian painter, 1431/1436-1516;1431.0;1516.0;12.326667;45.438611;12.326667;45.438611;Venice;Venice;19.0;8.0;11.0;1507.0;303.0;146.0;157.0;0.20106171201061712;0.09688122096881222;0.1041804910418049
CARRACCI Annibale;ulan:500115350;Carracci, Annibale;Italian (culture or style);Italian painter, 1560-1609;1560.0;1609.0;11.351;44.507;12.483333;41.9;Bologna;Rome;13.0;4.0;9.0;1386.0;133.0;48.0;85.0;0.09595959595959595;0.03463203463203463;0.06132756132756133
CANALETTO (il);ulan:500115269;Canaletto;Venetian (Republic, culture or style);Venetian painter, 1697-1768;1697.0;1768.0;12.326667;45.438611;12.326667;45.438611;Venice;Venice;30.0;12.0;18.0;1443.0;205.0;48.0;157.0;0.14206514206514206;0.033264033264033266;0.1088011088011088
GIOTTO di Bondone;ulan:500010766;Giotto;Italian (culture or style);Italian painter, architect, ca.1266-1337;1267.0;1337.0;;;;;;;20.0;7.0;13.0;1547.0;403.0;87.0;316.0;0.2605042016806723;0.05623787976729153;0.20426632191338073
PIRANESI Giambattista;ulan:500114965;Piranesi, Giovanni Battista;Italian (culture or style);Italian printmaker, architect, 1720-1778;1720.0;1778.0;12.235;45.565;12.483333;41.9;Mogliano Veneto;Rome;6.0;5.0;1.0;1130.0;35.0;34.0;1.0;0.030973451327433628;0.03008849557522124;0.0008849557522123894
GREVEMBROCH Jan;ulan:500001720;Grevenbroeck, Jan, II;Dutch (culture or style);Dutch painter, 1731-1807;1731.0;1807.0;;;;;;;0.0;0.0;0.0;1113.0;0.0;0.0;0.0;0.0;0.0;0.0
CARPACCIO Vittore;ulan:500015121;Carpaccio, Vittore;Italian (culture or style);Italian painter and draftsman, ca. 1460-ca. 1526;1455.0;1526.0;12.326667;45.438611;12.326667;45.438611;Venice;Venice;15.0;6.0;9.0;1096.0;92.0;62.0;30.0;0.08394160583941605;0.05656934306569343;0.02737226277372263
MAGNASCO Alessandro;ulan:500015104;Magnasco, Alessandro;Italian (culture or style);Italian painter and draftsman, 1667-1749;1667.0;1749.0;8.95;44.416667;8.95;44.416667;Genoa;Genoa;15.0;5.0;10.0;1115.0;117.0;37.0;80.0;0.10493273542600896;0.033183856502242155;0.07174887892376682
CANOVA Antonio;ulan:500115339;Canova, Antonio;Italian (culture or style);Italian sculptor, painter, draftsman, and architect, 1757-1822;1757.0;1822.0;11.866667;45.85;12.326667;45.438611;Possagno;Venice;8.0;3.0;5.0;992.0;23.0;16.0;7.0;0.023185483870967742;0.016129032258064516;0.007056451612903226
BARTOLOMEO Fra;ulan:500115575;Bartolommeo, Fra;Italian (culture or style);Florentine painter and draftsman, 1472-1517;1472.0;1517.0;11.25;43.766667;11.25;43.766667;Florence;Florence;10.0;3.0;7.0;947.0;26.0;9.0;17.0;0.027455121436114043;0.009503695881731784;0.01795142555438226
GOZZOLI Benozzo;ulan:500000246;Gozzoli, Benozzo;Italian (culture or style);Italian painter and draftsman, ca. 1421-1497;1420.0;1497.0;11.25;43.766667;10.9;43.916667;Florence;Pistoia;6.0;4.0;2.0;887.0;23.0;11.0;12.0;0.02593010146561443;0.012401352874859075;0.013528748590755355
BOTTICELLI Sandro;ulan:500015254;Botticelli, Sandro;Italian (culture or style);Florentine painter, 1444/1445-1510;1444.0;1510.0;11.25;43.766667;11.25;43.766667;Florence;Florence;21.0;11.0;10.0;921.0;109.0;59.0;50.0;0.11834961997828447;0.06406080347448426;0.05428881650380022
BASSANO Jacopo;ulan:500003126;Bassano, Jacopo;Italian (culture or style);Italian painter and draftsman, ca. 1510-1592;1505.0;1592.0;11.733333;45.766667;11.733333;45.766667;Bassano del Grappa;Bassano del Grappa;28.0;9.0;19.0;1008.0;220.0;71.0;149.0;0.21825396825396826;0.07043650793650794;0.14781746031746032
